
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022795                       # Number of seconds simulated (Second)
simTicks                                  22794661000                       # Number of ticks simulated (Tick)
finalTick                                 22794661000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    414.64                       # Real time elapsed on the host (Second)
hostTickRate                                 54974244                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2241796                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      117967369                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   241171                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     284503                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         45589323                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       132872208                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      114                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      128772101                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5132                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             14904900                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          31186853                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            45570401                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.825784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.285039                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   9464082     20.77%     20.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5198279     11.41%     32.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8356889     18.34%     50.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6408304     14.06%     64.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5233351     11.48%     76.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4347650      9.54%     85.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3054611      6.70%     92.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1422068      3.12%     95.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2085167      4.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              45570401                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  464666     99.33%     99.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.33% # attempts to use FU when none available (Count)
